lhs,rhs,estimate,std.error,statistic,p.value,tap
GN244 - N2,0.0,0.3736819633084666,0.11852458048315712,3.152780307554588,0.0045990057592394384,1.0
PY1589 - N2,0.0,0.39028305667813135,0.10703252818814815,3.646396691593312,7.936976668370122e-4,1.0
PY1589 - GN244,0.0,0.016601093369664754,0.12000218097923174,0.13833993044291282,0.98948139819439,1.0
GN244 - N2,0.0,0.15491277693257421,0.09074083584852509,1.7072002421398478,0.202269085890463,30.0
PY1589 - N2,0.0,0.35466514540609007,0.08946331108427741,3.9643641746277836,2.446715618326101e-4,30.0
PY1589 - GN244,0.0,0.19975236847351585,0.08486110790608922,2.353874152745802,0.048592992379877575,30.0
