1,1,0.144,1.256
1,1,0.352,1.172
1,1,0.599,3.584
1,1,1.104,3.151
1,1,0.772,1.988
1,1,0.932,2.62
1,1,0.761,2.243
1,1,1.235,2.558
1,1,0.473,1.106
1,1,0.674,1.927
1,1,1.128,2.994
1,1,0.668,1.99
1,1,0.582,2.117
1,1,1.198,3.075
1,1,1.101,2.43
1,1,0.974,3.14
1,1,0.204,0.666
1,1,0.427,1.509
1,1,0.177,0.421
1,1,0.065,0.387
1,1,1.04,2.121
1,1,0.98,2.429
1,1,0.481,1.296
1,1,0.924,2.618
1,1,1,2.184
1,1,0.733,2.117
1,1,1.125,2.557
1,2,0.34,1.188
1,2,1.171,2.632
1,2,0.722,1.974
1,2,0.794,1.561
1,2,1.106,3.642
1,2,1.57,3.396
1,2,0.12,0.719
1,2,1.472,3.708
1,2,1.142,3.049
1,2,0.018,0.165
1,2,0.034,0.13
1,2,0.405,1.3
1,2,0.141,0.579
1,2,0.563,1.259
1,2,0.433,0.841
1,2,1.006,2.317
1,2,0.648,1.974
1,2,0.087,0.65
1,2,1.408,4.02
1,2,0.144,0.264
1,2,0.883,2.317
1,2,0.046,0.32
1,2,1.048,2.254
1,2,0.606,1.688
1,2,0.217,0.777
1,2,0.849,2.038
1,2,1.207,3.326
1,2,0.559,1.625
1,2,1.237,3.011
1,2,1.089,2.506
1,3,0.443,2.186
1,3,0.541,2.106
1,3,0.352,1.322
1,3,0.816,2.239
1,3,0.373,1.162
1,3,0.772,2.043
1,3,0.418,1.355
1,3,0.528,2.501
1,3,0.177,0.782
1,3,0.473,0.973
1,3,0.765,2.301
1,3,0.503,1.938
1,3,0.283,0.947
1,3,0.014,0.153
1,3,0.4,1.896
1,3,0.684,1.972
1,3,1.274,2.862
1,3,0.053,0.172
1,3,0.422,2.421
1,3,0.092,0.233
1,3,0.173,0.969
1,3,1.087,3.178
1,3,1.474,3.429
1,3,0.871,2.358
1,3,0.74,2.043
1,3,0.246,1.288
1,4,0.326,1.6
1,4,0.713,2.329
1,4,0.179,0.661
1,4,0.876,4.058
1,4,0.627,3.17
1,4,0.293,1.515
1,4,0.996,2.994
1,4,0.677,1.819
